Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1961","1961","t","215646627","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1962","1962","t","226456291","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1963","1963","t","247119204","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1964","1964","t","262928949","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1965","1965","t","254059657","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1966","1966","t","261181246","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1967","1967","t","277386339","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1968","1968","t","288624275","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1969","1969","t","295584346","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1970","1970","t","316345651","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1971","1971","t","317712363","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1972","1972","t","307289867","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1973","1973","t","334928765","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1974","1974","t","331970539","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1975","1975","t","356963012","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1976","1976","t","347686382","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1977","1977","t","369481070","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1978","1978","t","385208660","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1979","1979","t","375251671","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1980","1980","t","396871220","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1981","1981","t","410075138","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1982","1982","t","421948954","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1983","1983","t","448016205","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1984","1984","t","465342803","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1985","1985","t","468164482","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1986","1986","t","468675152","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1987","1987","t","461439818","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1988","1988","t","487457812","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1989","1989","t","514421550","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1990","1990","t","518570206.92","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1991","1991","t","518069963","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1992","1992","t","529006037.86","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1993","1993","t","529256939.11","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1994","1994","t","539532737.16","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1995","1995","t","547558620.94","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1996","1996","t","568848366.98","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1997","1997","t","577439520.26","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1998","1998","t","579199410.52","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1999","1999","t","611539627.07","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2000","2000","t","598935232.17","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2001","2001","t","600540888.97","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2002","2002","t","571440129.47","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2003","2003","t","587676855.77","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2004","2004","t","607637880.31","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2005","2005","t","634609121.72","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2006","2006","t","640712239.29","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2007","2007","t","655485224.92","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2008","2008","t","685877373.98","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2009","2009","t","681354130.71","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2010","2010","t","696368958.35","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2011","2011","t","721936284.07","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2012","2012","t","729253466.63","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2013","2013","t","737149873.58","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2014","2014","t","737705245.75","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2015","2015","t","734077141.25","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2016","2016","t","737424590.05","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2017","2017","t","748898980.73","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2018","2018","t","763880184.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2019","2019","t","755487923.76","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2020","2020","t","775114187.35","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2021","2021","t","790822525.31","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2022","2022","t","788933616.99","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2023","2023","t","799999504.87","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1961","1961","t","26883158","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1962","1962","t","27120148","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1963","1963","t","28207071","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1964","1964","t","29079547","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1965","1965","t","31704923","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1966","1966","t","36412918","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1967","1967","t","37933319","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1968","1968","t","41420481","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1969","1969","t","41967347","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1970","1970","t","43696887","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1971","1971","t","45618769","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1972","1972","t","47257207","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1973","1973","t","59267889","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1974","1974","t","52639832","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1975","1975","t","64248541","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1976","1976","t","57399226","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1977","1977","t","73854802","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1978","1978","t","75449966","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1979","1979","t","88698341","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1980","1980","t","81040368","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1981","1981","t","88525040","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1982","1982","t","92121684","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1983","1983","t","79467061","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1984","1984","t","90752915","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1985","1985","t","101156845","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1986","1986","t","94446350","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1987","1987","t","100102463","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1988","1988","t","93521958","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1989","1989","t","107254261","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1990","1990","t","108456443","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1991","1991","t","102848965.24","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1992","1992","t","113989217.16","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1993","1993","t","115245084.38","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1994","1994","t","136356260.92","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1995","1995","t","126923581.76","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1996","1996","t","130193237.96","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1997","1997","t","144326264.33","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1998","1998","t","160128821.52","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1999","1999","t","157815478.83","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2000","2000","t","161308383.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2001","2001","t","177020742.82","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2002","2002","t","180950733.14","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2003","2003","t","190573528.04","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2004","2004","t","205548134.39","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2005","2005","t","214542760.54","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2006","2006","t","221558922.46","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2007","2007","t","219793074.78","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2008","2008","t","231223484.79","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2009","2009","t","223380801.78","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2010","2010","t","265088428.76","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2011","2011","t","261604942.76","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2012","2012","t","241351400.57","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2013","2013","t","277658288.41","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2014","2014","t","306260567.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2015","2015","t","323266190.03","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2016","2016","t","335905761.68","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2017","2017","t","359515842.89","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2018","2018","t","345203256.35","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2019","2019","t","336194001.45","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2020","2020","t","355871646.55","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2021","2021","t","372706079.64","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2022","2022","t","353696966.43","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2023","2023","t","371173609.31","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1961","1961","t","222357231","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1962","1962","t","250319146","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1963","1963","t","233339473","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1964","1964","t","268791657","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1965","1965","t","263645963","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1966","1966","t","303785460","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1967","1967","t","294295876","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1968","1968","t","326843941","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1969","1969","t","308640283","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1970","1970","t","310740954","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1971","1971","t","347525581","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1972","1972","t","343001429","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1973","1973","t","369334126","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1974","1974","t","358825442","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1975","1975","t","355806146","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1976","1976","t","419868031","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1977","1977","t","382276677","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1978","1978","t","443844880","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1979","1979","t","422999301","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1980","1980","t","440187901","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1981","1981","t","449633986","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1982","1982","t","476768609","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1983","1983","t","489555281","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1984","1984","t","512330225","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1985","1985","t","499527392","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1986","1986","t","528685222","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1987","1987","t","505075847","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1988","1988","t","500656538","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1989","1989","t","538206114","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1990","1990","t","591330111","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1991","1991","t","552329430.95","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1992","1992","t","560930669.32","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1993","1993","t","562999443.42","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1994","1994","t","532953322.66","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1995","1995","t","536814531.58","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1996","1996","t","571418932.52","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1997","1997","t","619129779.96","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1998","1998","t","593291814.96","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","1999","1999","t","581471237.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2000","2000","t","587648159.85","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2001","2001","t","588243586.28","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2002","2002","t","592045285.69","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2003","2003","t","549974473.24","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2004","2004","t","634666009.86","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2005","2005","t","627020836.28","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2006","2006","t","614381644.71","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2007","2007","t","606594342.42","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2008","2008","t","680294966.84","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2009","2009","t","683638638.66","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2010","2010","t","640802626.63","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2011","2011","t","696897832.61","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2012","2012","t","673731424.14","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2013","2013","t","710170906.86","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2014","2014","t","728759658.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2015","2015","t","741847015.19","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2016","2016","t","748439274.37","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2017","2017","t","772591036.77","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2018","2018","t","732646116.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2019","2019","t","763271238.71","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2020","2020","t","760144478.88","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2021","2021","t","774642499.71","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2022","2022","t","811384426.43","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2023","2023","t","798975306.39","A","Official figure",""
